t,vehicle_speed,yaw_rate,steering_angle,lane_quality,object_gap,target_flag
0.0,58.0,0.00019,-1.966,0.88,51.918,0
0.1,58.2,0.00133,-1.863,0.88,52.272,0
0.2,58.4,0.00246,-1.759,0.88,52.621,0
0.3,58.599,0.00359,-1.655,0.88,52.964,0
0.4,58.797,0.00471,-1.552,0.88,53.296,0
0.5,58.993,0.00582,-1.45,0.88,53.614,0
0.6,59.189,0.00692,-1.349,0.88,53.917,0
0.7,59.382,0.008,-1.249,0.88,54.2,0
0.8,59.573,0.00906,-1.152,0.88,54.462,0
0.9,59.761,0.01011,-1.056,0.88,54.699,0
1.0,59.947,0.01113,-0.963,0.88,54.91,0
1.1,60.13,0.01212,-0.872,0.88,55.092,0
1.2,60.309,0.01309,-0.783,0.88,55.242,0
1.3,60.484,0.01402,-0.698,0.88,55.36,0
1.4,60.656,0.01493,-0.615,0.88,55.443,0
1.5,60.823,0.0158,-0.536,0.88,55.491,0
1.6,60.986,0.01664,-0.459,0.88,55.501,0
1.7,61.144,0.01744,-0.386,0.88,55.473,0
1.8,61.297,0.01821,-0.315,0.88,55.406,0
1.9,61.445,0.01894,-0.248,0.88,55.299,0
2.0,61.587,0.01963,-0.183,0.88,55.153,0
2.1,61.723,0.02029,-0.121,0.88,54.967,0
2.2,61.854,0.02091,-0.062,0.88,54.741,0
2.3,61.978,0.02149,-0.004,0.88,54.476,0
2.4,62.096,0.02204,0.051,0.8799,54.172,0
2.5,62.207,0.02255,0.104,0.8799,53.829,0
2.6,62.312,0.02303,0.157,0.8799,53.45,0
2.7,62.41,0.02349,0.208,0.8799,53.034,0
2.8,62.501,0.02391,0.259,0.8798,52.584,0
2.9,62.584,0.0243,0.31,0.8798,52.1,0
3.0,62.66,0.02468,0.361,0.8797,51.584,0
3.1,62.729,0.02503,0.413,0.8796,51.038,0
3.2,62.79,0.02536,0.467,0.8795,50.464,0
3.3,62.844,0.02567,0.523,0.8793,49.864,0
3.4,62.889,0.02597,0.581,0.8792,49.24,0
3.5,62.927,0.02625,0.641,0.8789,48.595,0
3.6,62.957,0.02653,0.705,0.8786,47.931,0
3.7,62.979,0.0268,0.773,0.8783,47.251,0
3.8,62.994,0.02706,0.844,0.8779,46.558,0
3.9,63.0,0.02731,0.918,0.8773,45.856,0
4.0,62.998,0.02756,0.997,0.8767,45.148,0
4.1,62.988,0.0278,1.079,0.8759,44.437,0
4.2,62.97,0.02803,1.165,0.875,43.728,0
4.3,62.944,0.02826,1.254,0.874,43.025,0
4.4,62.911,0.02847,1.345,0.8727,42.331,0
4.5,62.869,0.02867,1.439,0.8712,41.652,0
4.6,62.82,0.02885,1.534,0.8694,40.991,0
4.7,62.763,0.02901,1.63,0.8674,40.352,0
4.8,62.698,0.02915,1.726,0.8651,39.741,0
4.9,62.626,0.02925,1.821,0.8625,39.16,0
5.0,62.546,0.02933,1.914,0.8595,38.615,1
5.1,62.46,0.02937,2.005,0.8561,38.108,1
5.2,62.366,0.02937,2.092,0.8523,37.642,1
5.3,62.265,0.02933,2.176,0.8481,37.22,1
5.4,62.157,0.02925,2.255,0.8435,36.844,1
5.5,62.042,0.02913,2.33,0.8384,36.516,1
5.6,61.922,0.02896,2.399,0.8329,36.236,1
